Level1_Name,Level1_Desc,Level2_Name,Level2_Desc,Level3_Name,Level3_Desc,Level4_Name,Level4_Desc,Level5_Name,Level5_Desc,Assign_To,Timeline,Weight,Substation_Type,Leaf_Node_Progress_Type
,,,,Soil Investigation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Bore Log Analysis,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Geo-Technical Test,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Soil Resistivity Test,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,Site Assessment,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,Hydrological / Flood Level Study,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Climatic Data Collection,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,Layout Engineering,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,AIS Yard Layout Finalization,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,GIS Building Layout Finalization,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Hybrid Layout Approval,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
Engineering & Design,,,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,AIS Engineering,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,Outdoor Bus Bar Layout Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Gantry Structure Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,AIS Equipment Foundation Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Outdoor Equipment Layout,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Lightning Arrestor Layout,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,GIS Engineering,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,GIS Bay Layout Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Indoor GIS Hall Layout,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,GIS Foundation Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,SF6 Gas Zone Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Gas Monitoring Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,GIS Hall Earthing Mesh / Faraday Cage Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,EOT Crane Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,Interface Engineering,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,AIS-GIS Interface Bay Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Bus Duct Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Interface Bushing Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,AIS-GIS Interconnection Layout,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Interface Protection Coordination Study,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,Protection & Control Engineering,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,Power System Studies,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,,,Single Line Diagram (SLD),,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,,,Short Circuit Study,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,,,Load Flow Study,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,,,Insulation Coordination Study,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Protection & SCADA Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,,,Protection Philosophy Design,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,,,Relay Coordination Study,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,,,Interlocking Scheme Design,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,,,Control & Relay Panel Layout,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,,,SCADA Architecture Design,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,,,RTU Design,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,,,Metering Scheme Design,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,Auxiliary Engineering,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,Cable Trench Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Cable Tray Layout,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Cable Schedule Preparation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Battery Sizing Calculation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Cable Sizing Calculation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Earthing Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Lightning Protection Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,HVAC Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Fire Protection Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Auxiliary AC/DC Distribution Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,DG Backup Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Lighting Design,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,Engineering Documentation,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,BOQ Preparation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,BOM Preparation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Drawing Approval Process,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
Procurement & Supply,,,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,Procurement Management,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,Vendor Finalization,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Vendor Drawing Approval,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,TPIA Engagement,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Purchase Requisition (PR),,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Purchase Order Release,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Manufacturing Follow-up,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Factory Acceptance Test (FAT),,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Dispatch Clearance,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Customs Clearance (Imported Equipment),,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Logistics Planning,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Transportation Arrangement,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,AIS Equipment Supply,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,Circuit Breaker,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Current Transformer (CT),,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Potential Transformer (PT/CVT),,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Isolator,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Lightning Arrestor,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Bus Bar / Conductors,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Structures / Gantry,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,GIS Equipment Supply,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,GIS Switchgear Assembly,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,SF6 Gas Cylinders,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Gas Density Monitor,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,SF6 Recovery Unit,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,GIS Bus Enclosure,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Local Control Cubicle,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,Interface Equipment Supply,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,Bus Duct,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Interface Bushings,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Interface Connectors,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,Common Equipment Supply,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,Power Transformer,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Control & Relay Panels,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,SCADA / RTU Panels,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Battery Bank,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Battery Charger,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,UPS System,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,ACDB/DCDB Panels,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Earthing Material,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,HVAC Equipment,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Fire Protection System,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,EOT Crane (GIS Hall),,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,"Tools, Tackles & Spares",,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,DG System (if applicable),,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Cables,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
Civil Works,,,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,AIS Civil Works,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,Site Grading & Leveling,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Excavation Work,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Anti-Termite / Soil Treatment,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,PCC Work,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Reinforcement Work,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,RCC Work,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,AIS Equipment Foundations,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Gantry Foundations,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Yard Gravelling,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,GIS Civil Works,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,GIS Building Construction,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Dust-proof / Clean Room Provisions for GIS Hall,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Indoor GIS Foundation Work,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,HVAC Room Construction,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Fire Fighting Room Construction,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Access Road / Heavy Unloading Bay (oversized GIS transport),,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Internal Building Finishing,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,Interface Civil Works,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,Interface Bay Foundation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Bus Duct Support Foundation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Interface Cable Trench / Duct,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,Common Infrastructure,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,Anti-Termite / Soil Treatment (Common Areas),,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Transformer Foundation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Transformer Oil Pit,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Plinth Protection,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Fire Wall Construction,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Control Room Building,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Cable Basement / Trenches,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Cable Sealing End Yard (if cable-fed),,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Boundary Wall,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Internal Roads,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Drainage System,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Rainwater Harvesting (if mandated),,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Compound Gates,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Water Supply Arrangement,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
Erection & Installation,,,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,AIS Equipment Installation,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,Gantry Structure Erection,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Alignment Checking,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Bolt Tightening,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Galvanization Touch-up / Painting,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Structural Inspection,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Circuit Breaker Installation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,CT Installation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,PT Installation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Isolator Installation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Lightning Arrestor Installation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Bus Bar Erection,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Jumper Connection,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Connector Installation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,GIS Equipment Installation,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,GIS Bay Assembly,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,GIS Module Positioning,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,GIS Alignment Check,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Bolting & Torque Tightening,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Vacuum Drying / Moisture Treatment of GIS Joints (pre-gas-fill),,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,SF6 Gas Filling,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Gas Density Monitoring Setup,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Gas Leakage Detection,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,EOT Crane Installation & Testing,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,Interface Installation,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,AIS-GIS Interface Bay Connection,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Bus Duct Installation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Interface Connector Installation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,AIS-GIS Mechanical Alignment,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Interconnection Torque Verification,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Interface Earthing Check,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,Common Electrical Installation,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,
,,,,Transformer Installation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Transformer Assembly,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Transformer Oil Filtration,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Control Panel Installation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Marshalling Box Wiring,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,AC/DC Distribution Wiring,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
,,,,Cable Tray Installation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,Hybrid,Binary
