Level1_Name,Level1_Desc,Level2_Name,Level2_Desc,Level3_Name,Level3_Desc,Level4_Name,Level4_Desc,Level5_Name,Level5_Desc,Assign_To,Timeline,Weight,Tower_Tagging,Leaf_Node_Progress_Type
,,,,Issued for Construction (IFC),,,,,,,,,No,Binary
,,As-Built Drawings,,,,,,,,,,,No,
,,,,Mark-up collection from site,,,,,,,,,No,Binary
,,,,Preparation & submission of as-built drawings,,,,,,,,,No,Binary
,,,,Client / utility acceptance of as-builts,,,,,,,,,No,Binary
Procurement,,,,,,,,,,,,,No,
,,Vendor Finalization,,,,,,,,,,,No,
,,,,Enquiry to approved vendors (civil & electrical),,,,,,,,,No,Binary
,,,,RFQ from minimum 3 vendors,,,,,,,,,No,Binary
,,,,Techno-commercial evaluation & comparison,,,,,,,,,No,Binary
,,,,Vendor finalization & Purchase Order,,,,,,,,,No,Binary
,,,,Guarantee / warranty certificate,,,,,,,,,No,Binary
,,Power Transformer,,,,,,,,,,,No,
,,,,Technical specification & BOQ,,,,,,,,,No,Binary
,,,,Vendor evaluation & PO,,,,,,,,,No,Binary
,,,,Factory inspection & FAT,,,,,,,,,No,Binary
,,,,Dispatch clearance from DISCOM / utility,,,,,,,,,No,Binary
,,,,Transportation to site,,,,,,,,,No,Binary
,,Circuit Breakers,,,,,,,,,,,No,
,,,,Technical specification & BOQ,,,,,,,,,No,Binary
,,,,Vendor evaluation & PO,,,,,,,,,No,Binary
,,,,Factory inspection,,,,,,,,,No,Binary
,,,,Transportation to site,,,,,,,,,No,Binary
,,Disconnectors / Isolators & Earth Switches,,,,,,,,,,,No,
,,,,Technical specification & BOQ,,,,,,,,,No,Binary
,,,,Vendor evaluation & PO,,,,,,,,,No,Binary
,,,,Factory inspection,,,,,,,,,No,Binary
,,,,Transportation to site,,,,,,,,,No,Binary
,,CTs & CVTs / PTs,,,,,,,,,,,No,
,,,,Technical specification & BOQ,,,,,,,,,No,Binary
,,,,Vendor evaluation & PO,,,,,,,,,No,Binary
,,,,Factory inspection,,,,,,,,,No,Binary
,,,,Transportation to site,,,,,,,,,No,Binary
,,Surge Arresters & Busbar Materials,,,,,,,,,,,No,
,,,,Technical specification & BOQ,,,,,,,,,No,Binary
,,,,Vendor evaluation & PO,,,,,,,,,No,Binary
,,,,Transportation to site,,,,,,,,,No,Binary
,,GIS Bays (GIS / Hybrid only),,,,,,,,,,,No,
,,,,Technical specification & BOQ,,,,,,,,,No,Binary
,,,,Vendor evaluation & PO,,,,,,,,,No,Binary
,,,,Factory inspection & FAT,,,,,,,,,No,Binary
,,,,Transportation to site,,,,,,,,,No,Binary
,,33kV VCB / RMU & 11kV Panels (Distribution),,,,,,,,,,,No,
,,,,Technical specification & BOQ,,,,,,,,,No,Binary
,,,,Vendor evaluation & PO,,,,,,,,,No,Binary
,,,,Factory inspection,,,,,,,,,No,Binary
,,,,Transportation to site,,,,,,,,,No,Binary
,,Protection Relays / IEDs & Control Panels,,,,,,,,,,,No,
,,,,Technical specification & BOQ,,,,,,,,,No,Binary
,,,,Vendor evaluation & PO,,,,,,,,,No,Binary
,,,,Factory inspection & FAT,,,,,,,,,No,Binary
,,,,Transportation to site,,,,,,,,,No,Binary
,,Metering & SCADA / RTU / Telecom Equipment,,,,,,,,,,,No,
,,,,Technical specification & BOQ,,,,,,,,,No,Binary
,,,,Vendor evaluation & PO,,,,,,,,,No,Binary
,,,,Factory inspection,,,,,,,,,No,Binary
,,,,Transportation to site,,,,,,,,,No,Binary
,,SAS / IEC 61850 Equipment (if applicable),,,,,,,,,,,No,
,,,,IED & BCU procurement,,,,,,,,,No,Binary
,,,,Station HMI & server,,,,,,,,,No,Binary
,,,,Ethernet switches & GPS sync system,,,,,,,,,No,Binary
,,,,Fiber optic patch panel & FO cables,,,,,,,,,No,Binary
,,,,Factory inspection & FAT,,,,,,,,,No,Binary
,,Battery & Charger / UPS / Auxiliary,,,,,,,,,,,No,
,,,,Technical specification & BOQ,,,,,,,,,No,Binary
,,,,Vendor evaluation & PO,,,,,,,,,No,Binary
,,,,Transportation to site,,,,,,,,,No,Binary
,,Cables & Conductors,,,,,,,,,,,No,
,,,,Power & control cables – BOQ & PO,,,,,,,,,No,Binary
,,,,Optical fiber cables – BOQ & PO,,,,,,,,,No,Binary
,,,,Cable trays / supports / accessories – BOQ & PO,,,,,,,,,No,Binary
,,,,Lugs / glands / PG clamps – BOQ & PO,,,,,,,,,No,Binary
,,Structural & Earthing Materials,,,,,,,,,,,No,
,,,,Structural steel (gantries / supports) – BOQ & PO,,,,,,,,,No,Binary
,,,,Earthing material (mat / electrode / riser) – BOQ & PO,,,,,,,,,No,Binary
,,Civil Materials,,,,,,,,,,,No,
,,,,Cement – BOQ & PO,,,,,,,,,No,Binary
,,,,Steel & iron – BOQ & PO,,,,,,,,,No,Binary
,,,,Aggregates – BOQ & PO,,,,,,,,,No,Binary
,,,,Bricks / blocks – BOQ & PO,,,,,,,,,No,Binary
,,Ancillary / BoP Equipment,,,,,,,,,,,No,
,,,,Fire protection & detection system,,,,,,,,,No,Binary
,,,,HVAC & ventilation,,,,,,,,,No,Binary
,,,,Lighting (yard & building),,,,,,,,,No,Binary
,,,,Electronic security (CCTV / access / intrusion),,,,,,,,,No,Binary
,,Material Management at Site,,,,,,,,,,,No,
,,,,Material receipt & entry into store / warehouse,,,,,,,,,No,Binary
,,,,Storage & preservation at site,,,,,,,,,No,Binary
,,,,Material reconciliation reports,,,,,,,,,No,Binary
,,,,DISCOM inspection & indemnity bond signing,,,,,,,,,No,Binary
,,,,Cartage from DISCOM store (if applicable),,,,,,,,,No,Binary
Site Development,,,,,,,,,,,,,No,
,,Site Clearing & Demolition,,,,,,,,,,,No,
,,,,Vegetation & tree clearance,,,,,,,,,No,Binary
,,,,Demolition of existing structures (if any),,,,,,,,,No,Binary
,,,,Debris removal & disposal,,,,,,,,,No,Binary
,,Earthwork,,,,,,,,,,,No,
,,,,Setting out & benchmark establishment,,,,,,,,,No,Binary
,,,,Bulk excavation,,,,,,,,,No,Binary
,,,,Filling & compaction,,,,,,,,,No,Binary
,,,,Site grading & leveling,,,,,,,,,No,Binary
,,,,Terrace formation (if sloped terrain),,,,,,,,,No,Binary
,,Access,,,,,,,,,,,No,
,,,,Approach road formation & surfacing,,,,,,,,,No,Binary
,,,,Temporary haul roads,,,,,,,,,No,Binary
Civil Works,,,,,,,,,,,,,No,
,,Perimeter & Access,,,,,,,,,,,No,
,,,,Boundary Wall,,,,,,,,,No,
,,,,,,Setting out,,,,,,,No,Binary
,,,,,,Foundation – excavation & PCC / RCC,,,,,,,No,Binary
,,,,,,Brickwork / masonry,,,,,,,No,Binary
,,,,,,Plastering & finishing,,,,,,,No,Binary
,,,,Main Gate,,,,,,,,,No,
,,,,,,Foundation,,,,,,,No,Binary
,,,,,,Gate fabrication & erection,,,,,,,No,Binary
,,,,,,Finishing & painting,,,,,,,No,Binary
,,,,Security Fence,,,,,,,,,No,
,,,,,,Post installation,,,,,,,No,Binary
,,,,,,Fencing wire / mesh fixing,,,,,,,No,Binary
,,Control Room Building,,,,,,,,,,,No,
,,,,Foundation – excavation & PCC / RCC,,,,,,,,,No,Binary
,,,,Plinth beam & superstructure,,,,,,,,,No,Binary
,,,,Brickwork & internal / external plaster,,,,,,,,,No,Binary
,,,,Roofing (RCC / sheet),,,,,,,,,No,Binary
,,,,Flooring & anti-static / false flooring,,,,,,,,,No,Binary
,,,,Doors / windows / rolling shutters,,,,,,,,,No,Binary
,,,,Painting & finishing,,,,,,,,,No,Binary
,,,,Electrical fittings provision (conduit / box),,,,,,,,,No,Binary
,,GIS Hall (GIS / Hybrid only),,,,,,,,,,,No,
,,,,Foundation,,,,,,,,,No,Binary
,,,,Steel structure erection,,,,,,,,,No,Binary
,,,,Roofing & cladding,,,,,,,,,No,Binary
,,,,Flooring,,,,,,,,,No,Binary
,,,,EOT crane beam & rail,,,,,,,,,No,Binary
,,,,Doors & windows,,,,,,,,,No,Binary
,,,,Finishing & painting,,,,,,,,,No,Binary
,,Relay Room / Telecom Room,,,,,,,,,,,No,
,,,,Foundation,,,,,,,,,No,Binary
,,,,Construction (brick / RCC),,,,,,,,,No,Binary
,,,,Flooring & finishing,,,,,,,,,No,Binary
,,,,Doors & windows,,,,,,,,,No,Binary
,,Store & Security Building,,,,,,,,,,,No,
,,,,Foundation,,,,,,,,,No,Binary
,,,,Construction,,,,,,,,,No,Binary
,,,,Finishing,,,,,,,,,No,Binary
,,Equipment Foundations,,,,,,,,,,,No,
,,,,Power Transformer Foundation,,,,,,,,,No,
,,,,,,Setting out & excavation,,,,,,,No,Binary
,,,,,,PCC & RCC casting,,,,,,,No,Binary
,,,,,,Anchor bolt setting,,,,,,,No,Binary
,,,,,,Curing & backfilling,,,,,,,No,Binary
,,,,Circuit Breaker Foundation,,,,,,,,,No,
,,,,,,Setting out & excavation,,,,,,,No,Binary
,,,,,,PCC & RCC casting,,,,,,,No,Binary
,,,,,,Curing,,,,,,,No,Binary
,,,,CT / PT / CVT / Surge Arrester Foundation,,,,,,,,,No,
,,,,,,Setting out & excavation,,,,,,,No,Binary
,,,,,,PCC & RCC casting,,,,,,,No,Binary
,,,,,,Curing,,,,,,,No,Binary
,,,,Isolator / Disconnector Foundation,,,,,,,,,No,
,,,,,,Setting out & excavation,,,,,,,No,Binary
,,,,,,PCC & RCC casting,,,,,,,No,Binary
,,,,,,Curing,,,,,,,No,Binary
,,,,Gantry Foundation,,,,,,,,,No,
,,,,,,Setting out & excavation,,,,,,,No,Binary
,,,,,,PCC & RCC casting,,,,,,,No,Binary
,,,,,,Anchor bolt setting,,,,,,,No,Binary
,,,,,,Curing & backfilling,,,,,,,No,Binary
,,,,Wave Trap Foundation (132kV+),,,,,,,,,No,
,,,,,,Setting out & excavation,,,,,,,No,Binary
,,,,,,PCC & RCC casting,,,,,,,No,Binary
,,,,,,Curing,,,,,,,No,Binary
,,,,33kV Equipment Foundation (Distribution),,,,,,,,,No,
,,,,,,Setting out & excavation,,,,,,,No,Binary
,,,,,,PCC & RCC casting,,,,,,,No,Binary
,,,,,,Curing,,,,,,,No,Binary
,,,,11kV Switchgear Foundation (Distribution),,,,,,,,,No,
,,,,,,Setting out & excavation,,,,,,,No,Binary
,,,,,,PCC & RCC casting,,,,,,,No,Binary
,,,,,,Curing,,,,,,,No,Binary
,,Transformer Containment,,,,,,,,,,,No,
,,,,Oil Soak Pit,,,,,,,,,No,
,,,,,,Excavation,,,,,,,No,Binary
,,,,,,RCC casting,,,,,,,No,Binary
,,,,,,Waterproofing,,,,,,,No,Binary
,,,,,,Oil drain pipe connection,,,,,,,No,Binary
,,,,Bund Wall,,,,,,,,,No,
,,,,,,Construction,,,,,,,No,Binary
,,,,,,Waterproofing,,,,,,,No,Binary
,,,,Fire Wall,,,,,,,,,No,
,,,,,,Construction,,,,,,,No,Binary
,,,,,,Finishing,,,,,,,No,Binary
,,Cable Civil Works,,,,,,,,,,,No,
,,,,Cable Trench,,,,,,,,,No,
,,,,,,Setting out,,,,,,,No,Binary
,,,,,,Excavation,,,,,,,No,Binary
,,,,,,RCC casting,,,,,,,No,Binary
,,,,,,Trench cover placement,,,,,,,No,Binary
,,,,Cable Ducts & Conduits,,,,,,,,,No,
,,,,,,Duct / conduit laying,,,,,,,No,Binary
,,,,,,Sealing & backfilling,,,,,,,No,Binary
,,,,Cable Pits & Manholes,,,,,,,,,No,
,,,,,,Excavation & RCC construction,,,,,,,No,Binary
,,,,,,Cover slab placement,,,,,,,No,Binary
,,Drainage & Water,,,,,,,,,,,No,
,,,,Storm Water Drainage,,,,,,,,,No,
,,,,,,Drain excavation,,,,,,,No,Binary
,,,,,,Pipe laying & jointing,,,,,,,No,Binary
,,,,,,Backfilling & compaction,,,,,,,No,Binary
,,,,Sewer System,,,,,,,,,No,Binary
,,,,Water Supply,,,,,,,,,No,Binary
,,,,Fire Water Tank,,,,,,,,,No,
,,,,,,Foundation & tank construction,,,,,,,No,Binary
,,,,,,Plumbing connections,,,,,,,No,Binary
,,,,Pump House,,,,,,,,,No,
,,,,,,Construction,,,,,,,No,Binary
,,,,,,Pump & motor installation,,,,,,,No,Binary
,,Yard & Roads,,,,,,,,,,,No,
,,,,Yard gravelling / hard standing,,,,,,,,,No,Binary
,,,,Internal roads – sub-base & surface course,,,,,,,,,No,Binary
,,,,Kerbing & road markings,,,,,,,,,No,Binary
Earthing System,,,,,,,,,,,,,No,
,,Earth Mat,,,,,,,,,,,No,
,,,,Excavation for earth mat grid,,,,,,,,,No,Binary
,,,,GI flat / copper conductor laying,,,,,,,,,No,Binary
,,,,Joints & exothermic / bolted connections,,,,,,,,,No,Binary
,,,,Backfilling & compaction,,,,,,,,,No,Binary
,,Earth Electrodes & Pits,,,,,,,,,,,No,
,,,,Pipe / plate electrode installation,,,,,,,,,No,Binary
,,,,Chemical / treated earth pit,,,,,,,,,No,Binary
,,,,Earth pit testing pre-burial,,,,,,,,,No,Binary
,,Earth Risers,,,,,,,,,,,No,
,,,,Riser connection to equipment bases,,,,,,,,,No,Binary
,,,,Riser connection to structures & gantries,,,,,,,,,No,Binary
,,,,Riser connection to building / control room,,,,,,,,,No,Binary
,,Equipment Earthing,,,,,,,,,,,No,
,,,,Primary equipment body earthing,,,,,,,,,No,Binary
,,,,Secondary panel & control room earthing,,,,,,,,,No,Binary
,,,,GIS enclosure earthing,,,,,,,,,No,Binary
,,Lightning Protection,,,,,,,,,,,No,
,,,,Lightning mast / air terminal installation,,,,,,,,,No,Binary
,,,,Down conductor installation,,,,,,,,,No,Binary
,,,,Bonding to earth mat,,,,,,,,,No,Binary
,,Earthing Testing & Acceptance,,,,,,,,,,,No,
,,,,Earth resistance measurement (all pits),,,,,,,,,No,Binary
,,,,Earth mat continuity check,,,,,,,,,No,Binary
,,,,Step & touch potential verification,,,,,,,,,No,Binary
,,,,Utility / client acceptance,,,,,,,,,No,Binary
Structural Steel & Gantries,,,,,,,,,,,,,No,
,,Gantry Structures,,,,,,,,,,,No,
,,,,Gantry fabrication & trial assembly,,,,,,,,,No,Binary
,,,,Foundation bolt setting check,,,,,,,,,No,Binary
,,,,Gantry erection & alignment,,,,,,,,,No,Binary
,,,,Grouting & fixing,,,,,,,,,No,Binary
,,,,Painting & finishing,,,,,,,,,No,Binary
,,Equipment Support Structures,,,,,,,,,,,No,
,,,,LA structure erection,,,,,,,,,No,Binary
,,,,CT / PT / CVT structure erection,,,,,,,,,No,Binary
,,,,Circuit breaker support structure erection,,,,,,,,,No,Binary
,,,,Isolator / disconnector structure erection,,,,,,,,,No,Binary
,,,,33kV VCB / RMU structure (Distribution),,,,,,,,,No,Binary
,,,,Cable support structure erection,,,,,,,,,No,Binary
,,Bus Support Structures,,,,,,,,,,,No,
,,,,Post insulator structure erection,,,,,,,,,No,Binary
,,,,Bus clamps & fittings installation,,,,,,,,,No,Binary
,,Platforms & Ladders,,,,,,,,,,,No,
,,,,Steel platform erection,,,,,,,,,No,Binary
,,,,Handrail & ladder installation,,,,,,,,,No,Binary
,,,,Anti-fall protection,,,,,,,,,No,Binary
Primary Equipment Installation,,,,,,,,,,,,,No,
,,Power Transformer,,,,,,,,,,,No,
,,,,Unloading & shifting to foundation,,,,,,,,,No,Binary
,,,,Placement & alignment on foundation,,,,,,,,,No,Binary
,,,,Oil filtration & filling,,,,,,,,,No,Binary
,,,,Radiator & cooling equipment mounting,,,,,,,,,No,Binary
,,,,Buchholz relay & PRD piping,,,,,,,,,No,Binary
,,,,Conservator & breather installation,,,,,,,,,No,Binary
,,,,Marshalling box mounting & wiring,,,,,,,,,No,Binary
,,,,OLTC drive mechanism installation,,,,,,,,,No,Binary
,,,,Transformer fencing & gravel spreading,,,,,,,,,No,Binary
,,,,Fire fighting system integration,,,,,,,,,No,Binary
,,,,HV / LV terminal connections,,,,,,,,,No,Binary
,,Circuit Breakers (AIS / HYB),,,,,,,,,,,No,
,,,,Unloading & positioning,,,,,,,,,No,Binary
,,,,Erection & alignment on foundation,,,,,,,,,No,Binary
,,,,SF6 / vacuum filling,,,,,,,,,No,Binary
,,,,Operating mechanism adjustment,,,,,,,,,No,Binary
,,,,Local control panel wiring,,,,,,,,,No,Binary
,,,,Control cable connection at LCP,,,,,,,,,No,Binary
,,Disconnectors / Isolators (AIS / HYB),,,,,,,,,,,No,
,,,,Structure & base erection,,,,,,,,,No,Binary
,,,,Isolator head mounting,,,,,,,,,No,Binary
,,,,Blade alignment & adjustment,,,,,,,,,No,Binary
,,,,Motor / manual mechanism installation,,,,,,,,,No,Binary
,,,,Interlock mechanism adjustment,,,,,,,,,No,Binary
,,,,Control wiring,,,,,,,,,No,Binary
,,Earth Switches,,,,,,,,,,,No,
,,,,Erection & alignment,,,,,,,,,No,Binary
,,,,Interlock mechanism installation,,,,,,,,,No,Binary
,,,,Control wiring,,,,,,,,,No,Binary
,,Current Transformers (AIS / HYB),,,,,,,,,,,No,
,,,,Unloading & erection on structure,,,,,,,,,No,Binary
,,,,Primary terminal connection,,,,,,,,,No,Binary
,,,,Secondary terminal box wiring,,,,,,,,,No,Binary
,,,,Oil / SF6 filling (if applicable),,,,,,,,,No,Binary
,,CVTs / PTs (AIS / HYB),,,,,,,,,,,No,
,,,,Unloading & erection on structure,,,,,,,,,No,Binary
,,,,Primary terminal connection,,,,,,,,,No,Binary
,,,,Secondary terminal box wiring,,,,,,,,,No,Binary
,,Surge Arresters (AIS / HYB),,,,,,,,,,,No,
,,,,Erection on structure,,,,,,,,,No,Binary
,,,,Primary terminal connection,,,,,,,,,No,Binary
,,,,Counter / monitor installation,,,,,,,,,No,Binary
,,,,Earthing of counter,,,,,,,,,No,Binary
,,Wave Traps & PLCC (132kV+),,,,,,,,,,,No,
,,,,Wave trap erection on gantry,,,,,,,,,No,Binary
,,,,Tuning unit (LMU/HMU) connection,,,,,,,,,No,Binary
,,,,PLCC coupling capacitor connection,,,,,,,,,No,Binary
,,,,PLCC rack installation & wiring,,,,,,,,,No,Binary
,,GIS Installation (GIS / HYB),,,,,,,,,,,No,
,,,,GIS hall cleanliness & environment verification,,,,,,,,,No,Binary
,,,,GIS bay module erection (factory-assembled),,,,,,,,,No,Binary
,,,,Bus duct connections,,,,,,,,,No,Binary
,,,,SF6 gas filling & quality check,,,,,,,,,No,Binary
,,,,SF6 leak test (ppm check),,,,,,,,,No,Binary
,,,,GIS CT / PT / LA integration,,,,,,,,,No,Binary
,,,,GIS earth switch installation,,,,,,,,,No,Binary
,,,,Local control cubicle (LCC) installation,,,,,,,,,No,Binary
,,,,EOT crane commissioning,,,,,,,,,No,Binary
,,33kV Yard Equipment (Distribution),,,,,,,,,,,No,
,,,,33kV VCB / RMU erection & alignment,,,,,,,,,No,Binary
,,,,CT & PT installation,,,,,,,,,No,Binary
,,,,Lightning arrester installation,,,,,,,,,No,Binary
,,,,Bus & jumper connections,,,,,,,,,No,Binary
,,11kV Switchgear (Distribution),,,,,,,,,,,No,
,,,,Panel unloading & placement,,,,,,,,,No,Binary
,,,,Bus coupler installation (if two incomers),,,,,,,,,No,Binary
,,,,Busbar installation & connections,,,,,,,,,No,Binary
,,,,Inter-panel connections,,,,,,,,,No,Binary
,,Busbar & Conductors (AIS / HYB),,,,,,,,,,,No,
,,,,Tube busbar / ACSR stringing,,,,,,,,,No,Binary
,,,,Jumper fabrication & fixing,,,,,,,,,No,Binary
,,,,Strain clamp & hardware fittings,,,,,,,,,No,Binary
,,,,Tightening & torque check,,,,,,,,,No,Binary
Secondary System Installation,,,,,,,,,,,,,No,
,,Control & Relay Panels,,,,,,,,,,,No,
,,,,Panel unloading & shifting to control room,,,,,,,,,No,Binary
,,,,Panel layout marking on floor,,,,,,,,,No,Binary
,,,,Panel erection / alignment / grouting / fixing,,,,,,,,,No,Binary
,,,,Inter-panel busbar connections,,,,,,,,,No,Binary
,,Protection Panels,,,,,,,,,,,No,
,,,,Protection relay / IED installation in panel,,,,,,,,,No,Binary
,,,,CT / VT secondary terminal connections,,,,,,,,,No,Binary
,,,,Scheme wiring,,,,,,,,,No,Binary
,,,,Trip circuit wiring,,,,,,,,,No,Binary
,,Metering Panels,,,,,,,,,,,No,
,,,,Revenue / tariff meter installation,,,,,,,,,No,Binary
,,,,Metering CT / PT wiring,,,,,,,,,No,Binary
,,,,Meter terminal block connections,,,,,,,,,No,Binary
,,Annunciation & Indication Panels,,,,,,,,,,,No,
