Level1_Name,Level1_Description,Level2_Name,Level2_Description,Level3_Name,Level3_Description,Level4_Name,Level4_Description,Level5_Name,Level5_Description,Assign_To,Timeline,Weight,Tower_Tag,Leaf_Node,Progress_Type
,,,,DC/AC Sizing & Inverter Loading Ratio,,,,,,,,,No,Binary,
,,,,Cable Sizing & Voltage Drop Calculation,,,,,,,,,No,Binary,
,,,,Protection Coordination Study,,,,,,,,,No,Binary,
,,,,Earthing/Lightning Protection Design,,,,,,,,,No,Binary,
,,Civil Design,,,,,,,,,,,No,,
,,,,Site Grading & Drainage Design,,,,,,,,,No,Binary,
,,,,Foundation/Pile Design,,,,,,,,,No,Binary,
,,,,Road & Culvert Design,,,,,,,,,No,Binary,
,,,,Control Room/Substation Civil Drawings,,,,,,,,,No,Binary,
,,Mechanical Design,,,,,,,,,,,No,,
,,,,Structural Design (Wind/Snow Load),,,,,,,,,No,Binary,
,,,,Tracker/Fixed-Tilt Mounting Design,,,,,,,,,No,Binary,
,,,,Module Layout Optimization (GCR, Tilt),,,,,,,,,No,Binary,
,,SCADA Design,,,,,,,,,,,No,,
,,,,SCADA Architecture & Network Design,,,,,,,,,No,Binary,
,,,,Communication Protocol Selection,,,,,,,,,No,Binary,
,,,,Weather Station & Metering Integration Design,,,,,,,,,No,Binary,
,,Document Control,,,,,,,,,,,No,,
,,,,Drawing Numbering & Revision Control,,,,,,,,,No,Binary,
,,,,Document Submission/Approval Workflow,,,,,,,,,No,Binary,
,,,,Design Change Management,,,,,,,,,No,Binary,
,,,,As-built Drawing Register,,,,,,,,,No,Binary,
Procurement,,,,,,,,,,,,,No,,
,,Vendor Management,,,,,,,,,,,No,,
,,,,Vendor Pre-qualification,,,,,,,,,No,Binary,
,,,,Technical Bid Evaluation,,,,,,,,,No,Binary,
,,,,Vendor Performance Tracking,,,,,,,,,No,Binary,
,,Procurement,,,,,,,,,,,No,,
,,,,PV Modules/Inverters/Transformers Procurement,,,,,,,,,No,Binary,
,,,,Mounting Structures/BOS/Cables Procurement,,,,,,,,,No,Binary,
,,,,SCADA & Monitoring Equipment Procurement,,,,,,,,,No,Binary,
,,,,Purchase Order Issuance,,,,,,,,,No,Binary,
,,Logistics,,,,,,,,,,,No,,
,,,,Shipping & Freight Planning,,,,,,,,,No,Binary,
,,,,Customs Clearance,,,,,,,,,No,Binary,
,,,,Transportation to Site,,,,,,,,,No,Binary,
,,Warehouse,,,,,,,,,,,No,,
,,,,Site Store Setup,,,,,,,,,No,Binary,
,,,,Inventory Tracking System,,,,,,,,,No,Binary,
,,,,Material Issue/Receipt Control,,,,,,,,,No,Binary,
,,Material Inspection,,,,,,,,,,,No,,
,,,,Factory Acceptance Test (FAT),,,,,,,,,No,Binary,
,,,,Goods Receipt Inspection (GRI),,,,,,,,,No,Binary,
,,,,Damage/Shortage Claims,,,,,,,,,No,Binary,
,,,,Material Test Certificates Verification,,,,,,,,,No,Binary,
Civil Construction,,,,,,,,,,,,,No,,
,,Pre-Construction Survey & Setting Out,,,,,,,,,,,No,,
,,,,Boundary Verification,,,,,,,,,No,Binary,
,,,,Benchmark Establishment,,,,,,,,,No,Binary,
,,,,Pile Marking,,,,,,,,,No,Binary,
,,,,Layout Marking,,,,,,,,,No,Binary,
,,,,Grid Alignment Marking,,,,,,,,,No,Binary,
,,,,Foundation Centerline Marking,,,,,,,,,No,Binary,
,,,,Benchmark Verification,,,,,,,,,No,Binary,
,,Temporary Facility,,,,,,,,,,,No,,
,,,,Site Office & Labor Camp Setup,,,,,,,,,No,Binary,
,,,,Temporary Power & Water Supply,,,,,,,,,No,Binary,
,,,,Temporary Fencing & Signage,,,,,,,,,No,Binary,
,,,,Construction Storage Yards,,,,,,,,,No,Binary,
,,Material Handling,,,,,,,,,,,No,,
,,,,Material Unloading,,,,,,,,,No,Binary,
,,,,Internal Transportation,,,,,,,,,No,Binary,
,,,,Storage Arrangement,,,,,,,,,No,Binary,
,,,,Material Preservation,,,,,,,,,No,Binary,
,,Civil Work,,,,,,,,,,,No,,
,,,,Site Clearing,,,,,,,,,No,Binary,
,,,,Excavation,,,,,,,,,No,Binary,
,,,,Grading,,,,,,,,,No,Binary,
,,,,Compaction,,,,,,,,,No,Binary,
,,,,Internal Road Construction,,,,,,,,,No,Binary,
,,,,Drainage Construction,,,,,,,,,No,Binary,
,,,,Foundation Construction,,,,,,,,,No,Binary,
,,,,Substation Civil Work,,,,,,,,,No,Binary,
,,Cable Infrastructure,,,,,,,,,,,No,,
,,,,Trench Excavation,,,,,,,,,No,Binary,
,,,,Cable Tray Installation,,,,,,,,,No,Binary,
,,,,Backfilling,,,,,,,,,No,Binary,
,,,,Route Marker Installation,,,,,,,,,No,Binary,
Mechanical Installation,,,,,,,,,,,,,No,,
,,Mounting Structure Erection,,,,,,,,,,,No,Binary,
,,Bolt Tightening,,,,,,,,,,,No,Binary,
,,Torque Verification,,,,,,,,,,,No,Binary,
,,Structure Alignment Verification,,,,,,,,,,,No,Binary,
,,Module Mounting,,,,,,,,,,,No,Binary,
,,Module Clamping,,,,,,,,,,,No,Binary,
,,Module Grounding,,,,,,,,,,,No,Binary,
,,Module Serial Number Recording,,,,,,,,,,,No,Binary,
,,Tracker Mechanism Installation,,,,,,,,,,,No,Binary,
Electrical Installation,,,,,,,,,,,,,No,,
,,DC Stringing & Combiner Box Landing,,,,,,,,,,,No,Binary,
,,DC Cable Termination,,,,,,,,,,,No,Binary,
,,SPD Installation,,,,,,,,,,,No,Binary,
,,MCB/MCCB Installation,,,,,,,,,,,No,Binary,
,,Fuse Installation,,,,,,,,,,,No,Binary,
,,Inverter Installation,,,,,,,,,,,No,Binary,
,,AC Cabling & Transformer Installation,,,,,,,,,,,No,Binary,
,,AC Cable Termination,,,,,,,,,,,No,Binary,
,,Ferruling and Labeling,,,,,,,,,,,No,Binary,
,,Switchgear/HT Panel Installation,,,,,,,,,,,No,Binary,
,,Earthing & Lightning Protection Installation,,,,,,,,,,,No,Binary,
,,Earth Pit Resistance Testing,,,,,,,,,,,No,Binary,
,,String Continuity Testing,,,,,,,,,,,No,Binary,
,,Polarity Testing,,,,,,,,,,,No,Binary,
,,SCADA/Weather Station Wiring,,,,,,,,,,,No,Binary,
,,Transmission Line,,,,,,,,,,,No,,
,,,,Tower/Pole Foundation,,,,,,,,,No,Binary,
,,,,Tower Erection,,,,,,,,,No,Binary,
,,,,Conductor Stringing,,,,,,,,,No,Binary,
,,,,Line Testing & Energization,,,,,,,,,No,Binary,
,,,,Interconnection to Grid Substation,,,,,,,,,No,Binary,
QA/QC & HSE,,,,,,,,,,,,,No,,
,,QA/QC,,,,,,,,,,,No,,
,,,,Inspection Test Plan (ITP) Development,,,,,,,,,No,Binary,
,,,,Foundation Inspection,,,,,,,,,No,Binary,
,,,,Structure Inspection,,,,,,,,,No,Binary,
,,,,Module Installation Inspection,,,,,,,,,No,Binary,
,,,,Cable Inspection,,,,,,,,,No,Binary,
,,,,Earthing Inspection,,,,,,,,,No,Binary,
,,,,Non-Conformance Report (NCR) Management,,,,,,,,,No,Binary,
,,,,Quality Audits,,,,,,,,,No,Binary,
,,,,Calibration of Test Instruments,,,,,,,,,No,Binary,
,,Rework Management,,,,,,,,,,,No,,
,,,,Defect Identification,,,,,,,,,No,Binary,
,,,,Rework Assignment,,,,,,,,,No,Binary,
,,,,Rework Execution,,,,,,,,,No,Binary,
,,,,Re-inspection,,,,,,,,,No,Binary,
,,,,Closure,,,,,,,,,No,Binary,
,,Resource Management,,,,,,,,,,,No,,
,,,,Manpower Planning & Deployment,,,,,,,,,No,Binary,
,,,,Equipment/Machinery Allocation,,,,,,,,,No,Binary,
,,,,Subcontractor Coordination,,,,,,,,,No,Binary,
,,,,Productivity Tracking,,,,,,,,,No,Binary,
,,HSE,,,,,,,,,,,No,,
,,,,Site Safety Plan & Induction,,,,,,,,,No,Binary,
,,,,PPE Management,,,,,,,,,No,Binary,
,,,,Permit-to-Work System,,,,,,,,,No,Binary,
,,,,Toolbox Talks,,,,,,,,,No,Binary,
,,,,Incident/Accident Reporting & Investigation,,,,,,,,,No,Binary,
,,,,Environmental Management,,,,,,,,,No,Binary,
,,,,Emergency Response Planning,,,,,,,,,No,Binary,
,,,,Site Security Management,,,,,,,,,No,Binary,
,,,,CCTV Monitoring,,,,,,,,,No,Binary,
,,,,Theft Prevention,,,,,,,,,No,Binary,
Testing & Commissioning,,,,,,,,,,,,,No,,
,,Cleaning & Preparation,,,,,,,,,,,No,,
,,,,Module Cleaning,,,,,,,,,No,Binary,
,,,,Dust/Debris Removal,,,,,,,,,No,Binary,
,,,,Combiner Box/Inverter Cleaning,,,,,,,,,No,Binary,
,,,,Visual Cleaning Inspection,,,,,,,,,No,Binary,
,,Pre-Commissioning,,,,,,,,,,,No,,
,,,,Visual Inspection,,,,,,,,,No,Binary,
,,,,Continuity & IR (Megger) Testing,,,,,,,,,No,Binary,
,,,,Voc/Polarity Check per String,,,,,,,,,No,Binary,
,,Functional Testing,,,,,,,,,,,No,,
,,,,String IV Curve Tracing,,,,,,,,,No,Binary,
,,,,Inverter Power-up Test,,,,,,,,,No,Binary,
,,,,Protection Relay Testing,,,,,,,,,No,Binary,
,,,,Transformer Testing,,,,,,,,,No,Binary,
,,,,Breaker Tripping Test,,,,,,,,,No,Binary,
,,,,Protection Logic Testing,,,,,,,,,No,Binary,
,,,,Emergency Shutdown Testing,,,,,,,,,No,Binary,
,,SAT (Site Acceptance Test),,,,,,,,,,,No,,
,,,,SCADA/DAS Functional Verification,,,,,,,,,No,Binary,
,,,,Communication Network Test,,,,,,,,,No,Binary,
,,,,Alarm/Trip Signal Verification,,,,,,,,,No,Binary,
,,,,Client/Consultant Witness Sign-off,,,,,,,,,No,Binary,
,,Grid Synchronization,,,,,,,,,,,No,,
,,,,Utility Witness Test,,,,,,,,,No,Binary,
,,,,Synchronization & Anti-Islanding Test,,,,,,,,,No,Binary,
,,,,Reactive Power/Power Factor Test,,,,,,,,,No,Binary,
,,Performance Testing,,,,,,,,,,,No,,
,,,,Performance Ratio (PR) Test Run,,,,,,,,,No,Binary,
,,,,Capacity/Reliability Test,,,,,,,,,No,Binary,
,,,,Thermal Imaging of Connections,,,,,,,,,No,Binary,
,,Punch Closure,,,,,,,,,,,No,,
,,,,Punch List Generation,,,,,,,,,No,Binary,
,,,,Category A/B Item Closure,,,,,,,,,No,Binary,
,,,,Re-inspection & Sign-off,,,,,,,,,No,Binary,
,,Documentation,,,,,,,,,,,No,,
,,,,As-built Drawings,,,,,,,,,No,Binary,
,,,,Test Certificates Compilation,,,,,,,,,No,Binary,
,,,,O&M Manual,,,,,,,,,No,Binary,
,,,,Commissioning Report,,,,,,,,,No,Binary,
Handover,,,,,,,,,,,,,No,,
,,PAC (Provisional Acceptance Certificate),,,,,,,,,,,No,Binary,
,,Training (O&M Knowledge Transfer),,,,,,,,,,,No,Binary,
,,Warranty Registration & Tracking,,,,,,,,,,,No,Binary,
,,FAC (Final Acceptance Certificate),,,,,,,,,,,No,Binary,
,,Demobilization,,,,,,,,,,,No,,
,,,,Temporary Facility Removal,,,,,,,,,No,Binary,
,,,,Equipment Demobilization,,,,,,,,,No,Binary,
,,,,Waste Clearance,,,,,,,,,No,Binary,
,,,,Final Site Cleaning,,,,,,,,,No,Binary,
,,,,Site Restoration Handover to Client,,,,,,,,,No,Binary,
Operations & Maintenance,,,,,,,,,,,,,No,,
,,Daily Operations,,,,,,,,,,,No,Binary,
,,Weekly Inspection,,,,,,,,,,,No,Binary,
,,Monthly Preventive Maintenance,,,,,,,,,,,No,Binary,
,,Quarterly Preventive Maintenance,,,,,,,,,,,No,Binary,
,,Annual Shutdown Maintenance,,,,,,,,,,,No,Binary,
,,Inverter Maintenance,,,,,,,,,,,No,Binary,
,,Transformer Maintenance,,,,,,,,,,,No,Binary,
,,Module Cleaning Schedule,,,,,,,,,,,No,Binary,
,,Vegetation Management,,,,,,,,,,,No,Binary,
,,Security Monitoring,,,,,,,,,,,No,Binary,
,,Performance Analytics,,,,,,,,,,,No,Binary,
,,Breakdown Maintenance,,,,,,,,,,,No,Binary,
,,Spare Inventory Management,,,,,,,,,,,No,Binary,
,,Safety Compliance,,,,,,,,,,,No,Binary,
,,AMC/Vendor Management,,,,,,,,,,,No,Binary,
Decommissioning,,,,,,,,,,,,,No,,
,,End-of-Life Assessment,,,,,,,,,,,No,Binary,
,,Dismantling (Modules/Inverters/Structures),,,,,,,,,,,No,Binary,
,,Recycling & E-waste Compliance,,,,,,,,,,,No,Binary,
,,Land Restoration,,,,,,,,,,,No,Binary,
,,Repowering Feasibility Study,,,,,,,,,,,No,Binary,
